Rate,Name,date,variation,Review,verified reviews
5,Steven Barall,15-Apr-18,, ,"The auto open and close it fantastic.  When you hit the button to close it, the canopy closes but the stalk stays extended.  When you pull in the stalk the spring gets compressed and you're ready for the next time you press that button.  The only thing is that the spring is so strong it's a little hard to pull the stalk closed.  Oh and also it keeps the rain off of you!  If I lost it or gave it away I would get this same one again."
5,Greg Bowman,15-Apr-18,, ,"Great little umbrella, very compact. This model came recommended in a NYT article listing essentials for visiting Mexico. Definitely nice to have also where I live."
4,G. Cornell,15-Apr-18,, ,"Just received the product a week ago and have not had to opportunity to use it yet.  However, I like the ease and quickness of opening and closing the umbrella.  Takes a little effort to get it back into the sleeve."
1,AmazCustomer,15-Apr-18,, ,This is not windproof at all. First gust of wind and the umbrella gave out. One of the worst umbrellas I have owned.
5,Jimmy Ward,15-Apr-18,, ,Itâ€™s a great product maybe make it more bigger for us tall guys
5,David Bryant,15-Apr-18,, ,"This is by far my favorite travel umbrella. It's compact and easily packed in carry on, backpack, or suitcase, is easy to both open and close with one hand, and has held up well in heavy wind and driving rain on many, many trips.  I own several so that I always have one hand as I seem to keep leaving them in the backseat of my car, and (on at least one occasion) a taxi cab in Taipei.  (Oh, and it's reasonably priced, too.)"
2,AmazCustomer,15-Apr-18,, ,"Was good while it lasted. One of the spines just broke of its own accord, only used it less than 5 times in light showers so quite disappointing"
4,Thomas C,15-Apr-18,, ,This appears to be a very well made umbrella. The order was shipped promptly.
5,Anonymous,14-Apr-18,, ,The best umbrella I've ever used.
1,Breanne Wagner,13-Apr-18,, ,"NOT wind proof. Turned completely inside out today, the first day I used it, in mild wind. Would not recommend. Waste of money. Walking home in the pouring rain now..."
5,Marilia Onate,13-Apr-18,, ,Strong umbrella
5,Puneet Mahajan,13-Apr-18,, ,Looks good. Product was delivered on time.
4,Blake Ballard,13-Apr-18,, ,"A little small, but that's my fault for not checking the measurements. It's JUST big enough to keep a single person dry in a light downpour. During a storm with wind and all, you might get a little wet from the rain coming at you at an angle."
5,pgardner,12-Apr-18,, ,"The umbrella's operation is smooth and firm, which must be due to good engineering and solid construction.  The umbrella's small size when collapsed belies the large cover provided when open."
5,Carol Benson,12-Apr-18,, ,"Very happy with my umbrella. Opens and closes easily, very sturdy too."
5,C. Callahan,12-Apr-18,, ,"Light, strong, and really sheds water. Definitely not large enough to share."
5,Customer,11-Apr-18,, ,"Only used it a couple times.  Seems strong enough and opens and closes well, but there wasn't much wind the last storm.  It does shed water very easily and appears very well made.  I suspect it will last."
5,Seth Lukash,11-Apr-18,, ,Sturdy easy to use
4,Mark Lane,11-Apr-18,, ,"Just got it a couple of days ago, and it hasn't rained yet!  But, it seems to work well, and it is heavier than most little umbrellas, which feels more solid and well made."
5,"R. Carole in Tampa, FL",11-Apr-18,, ,"I have not had had the need toes this umbrella.  However, I did open and close it a few times in the house.  It worked just as advertised.  After following your instructions for opening and closing, I found it easier to place the umbrella on the floor and push down to close all the way."
5,Daniel W. Belcher,10-Apr-18,, ,Just about the best umbrella you can get for this price. Withstood Chicago winds quite well.
5,ark,10-Apr-18,, ,quality was suberb
5,Annabelle,10-Apr-18,, ,Great sturdy umbrella!
5,M.D.,10-Apr-18,, ,"This was packaged great and I'm pleased with the umbrella.  Haven't had a chance to use it yet in rain but seems like solid and easy to open and close, just what I was looking for."
5,AmazCustomer,9-Apr-18,, ,The umbrella is well made and small enough to be convenient.  The price was a plus as well.
5,brianp83,9-Apr-18,, ,so far a great umbrella!  I have used it a couple times in moderate winds and it has held up nicely.  It stows compactly and the sheeting action is superior.
5,dgs,9-Apr-18,, ,"Exactly as described and fast delivery.  Bought a second one because so pleased with the first,  now one for each car."
5,chadwicks1224,9-Apr-18,, ,"Nice umbrella.  Sturdy, made well."
5,Ann R.,9-Apr-18,, ,"Good size, easy to open and close, fits in daypack."
5,CZ,9-Apr-18,, ,I love the mechanism of this umbrella and that it is definitely a more modern design than the cheap stuff you can pick up off the street or for cheap at the pharmacy or convenience store.This umbrella is dense and has a large diameter despite its compact folded size. Feels like quality!
5,pir209,9-Apr-18,, ,great product and design...fast delivery
5,Allyson,8-Apr-18,, ,"It was raining while I was out with my friends. We managed to fit five girls under this umbrella. Great product and the company, itself has amazing customer service. I received an email making sure that I received the product, that it works, and to remind me that this product has a lifetime warranty."
5,AmazCustomer,8-Apr-18,, ,This is by far the best umbrella I have ever own.Thanks!5
5,MM Harvey,8-Apr-18,, ,The umbrella was delivered very quickly and works like a charm. Very happy
5,Brett Henry,8-Apr-18,, ,Great and helpful product.  Mine broke in a couple of months and I contacted the vendor.  There were kind and sent a replacement for free.  Would recommend this product and supplier
5,steven schonwetter,8-Apr-18,, ,Works great!
4,Taryn,8-Apr-18,, ,"I wouldnâ€™t say this is windproof. It turned inside out in the wind on my first use - it was pretty strong wind, so Iâ€™ll give it another shot in the wind, but I was disappointed. Great umbrella otherwise!Update: The company made things right for my inconvenience. Thank you!"
5,obiwan,7-Apr-18,, ,"Arrived on time as advertised, and am very happy with the quality of this umbrella!"
4,AlisBatiste,7-Apr-18,, ,"It was purchased as a gift not used as yet, but it certainly feels like it will handle the rain and wind.Heavier than I thought but that is an observation not a complaint."
1,exor,7-Apr-18,, ,"Lasted a few uses before the wind wrecked it. Went back to my 10-year old umbrella that was built to last, unlike this piece."
5,Jarevalo,7-Apr-18,,"Easy pops open and close with a push of a button.The quality and construction is very good.The rubberized handle design is comfortable for your grip.It comes with sleeve for storage.If this review helps,please give it a thumbs up.Thank you!", 
5,sherm624,7-Apr-18,, ,"Change from 2 to 5 stars.  After a not-so-great impression, I sent a message to the seller who promptly asked if I wanted a refund or replacement.  Needing an umbrella I asked for a replacement.  It arrived quickly and at no cost.  One of my original issues was that the button to open requires far too much effort, so does closing it.  This is still true, but I've come to realize the product (including this part) is well made.My first time using it was during a rainstorm with 50 mph gusts.  I walked 3 blocks from my work to a parking garage.  The umbrella inverted twice.  After that it did not open automatically (popped up but required manual pushing to lock in place.  I am grateful for the free replacement."
5,Afonso Manuel da Silva Antunes Moreira,7-Apr-18,, ,impec. slb sucks
5,L&amp;J,7-Apr-18,, ,It didnâ€™t rain yet but the umbrella seems tough .It opens &amp; coloses well but takes a little effort to collapse the handle. not a problem if you expect it.The cover is very tight-I wish it was looser and had a zipper.If there is a problem when it rains Iâ€™ll write again but the sky is very blue right now.
5,Joseph Fiorentino,7-Apr-18,, ,Excellent!!
5,Laurie,7-Apr-18,, ,Very nice
1,Aaron-Ross Jimenez,7-Apr-18,, ,Broke on the third use
5,Arthur Choi,6-Apr-18,, ,Good product.
5,Jae,6-Apr-18,, ,Haven't had a chance to test it out yet weather wise but I'm sure I will soon. I like that it opens and closes with the push of a  button.
5,AmazCustomer,6-Apr-18,,Very sturdy umbrella and I like the push button opening AND closing.  It is heavier than the Chinese cheapies but much stronger.  Delivery to Australia was reasonably priced and fast too., 
5,ConsumerMan,6-Apr-18,, ,Seems like an excellent durable product. We'll see next time the wind blows!
5,girls girls girls,6-Apr-18,, ,It was a gift to a friend
2,SepidehSanaz,6-Apr-18,, ,It did damage on a mildly windy day!
1,Raintrand,6-Apr-18,, ,Top umbrella
4,Brian C.,5-Apr-18,, ,great for the price if it felt a little tougher in hand it when opened it would be an all star.
5,AmazCustomer,5-Apr-18,, ,"Buying this umbrella was a great decision. I've given it 5 stars - not because it is bulletproof and unbreakable, but because the customer service lives up to its claims and makes owning the product a 5 star experience.I've had to ask for 2 replacements - one right after I ordered (something probably went wrong with shipping) and the second after using it for approximately 2 years. The product itself is great, water repellant, easy to dry, great functionality. I didn't expect it to last as long as it did in my travels to disaster prone areas around the world.And when one of the ribs gave way after surviving several storms, customer service sent a replacement - no questions asked. Very impressive."
5,alittlebitofeverything,5-Apr-18,,Good solid product would order again., 
5,AmazCustomer,5-Apr-18,, ,"I just purchased this umbrella for a trip to Ireland and am very pleased.  I often hate umbrellas because you have to fight to get them up or down, but this one does the work for you thanks to a handy mechanism."
1,Paul Reiner,5-Apr-18,, ,"Rivet sheered off one of the arms within first 3 uses. Unit is 33 days old and already i cant return itOther than this defect, the unit was pretty good. Nylon material dried very quickly. I think this is a four star product plagued with poor quality control"
5,Katie Duntley,5-Apr-18,, ,I bought this to take with me on a trip to London in March. It rained almost every day we were there and I used this umbrella constantly and it held up very well! Seemingly good construction and the button to open and close works very well!
5,Baker,4-Apr-18,, ,Push the button to open.  Push the button to close.  Quick.
5,AmazCustomer,4-Apr-18,, ,"Nothing worse than buying an umbrella that will not protect you against the rain, or that will flip over when it's too windy. Have never had an issue with this umbrella. It's well worth the money. It's even covered under lifetime warranty. When my umbrella was worn out after extensive years of use, customer service via Amazon offered to replace it, free of charge. I will only buy Repel umbrellas from now on, and will give them to friends as gifts."
5,AmazCustomer,4-Apr-18,, ,"Looks great, canâ€™t wait until it rains again to use it!"
5,Jeremiah Handlon,4-Apr-18,, ,I love this umbrella. It dries very fast and I appreciate the lifetime warranty.
5,Kindle Customer,3-Apr-18,, ,"I've just bought it because of the rainy season in IN but already had an opportunity to test the quality of the purchase. It's totally awesome! This umbrella protects me from rain drops on all sides while being very comfortable in use and compact for carriage. Apart from being excellent shield from water flows from above the umbrella protects from raindrops in the back and on the cuffs. That's what I love about the most!So far, I don't know whether the umbrella works well during very windy weather although the stick looks solid."
1,Fred Hill,3-Apr-18,, ,"Umbrella broke after a few weeks. It blew out of my hands, hit the ground, and two of the points snapped off. Disappointing."
1,Sergiu,3-Apr-18,, ,"weak. doesnt hold up in Chicago. The cheap 7/11 umbrella is designed better than this. The spokes upholding the cloth are designed extremely poorly, come apart very quickly."
1,R. Glaser,3-Apr-18,, ,Was nice for the half dozen or so times that it worked before the attachment of the shaft to the umbrella top failed completely rendering this thing trash.  I was very disappointed as my Walmart umbrella I had before this lasted me several years.  Definately would not recommend.Noticed &#34;Lifetime Warrenty&#34; claim on this product.  Will update review with info on that after I see how that goes...
5,Angel Alamilla,3-Apr-18,, ,"good quality, arrived early, very pleased."
5,Cathy Kennedy,3-Apr-18,, ,It was as expected. A functioning umbrella. Thanks!
5,JOHN C. SALVATO,3-Apr-18,, ,"works great , but only had it for a short time, time will tell...."
5,AmazCustomer,3-Apr-18,, ,"Everything came as promised. Excellent, durable and convenient design."
4,Troy Lorenz,3-Apr-18,, ,Very nice product. I'm traveling in the tropics and the rain and wind can come up in a hurry. This product has worked great!!! I like the design of the button that opens and  closes.  Seems to be very durable as I have watched other umbrellas get dismantled in the wind and been more inconvenient to use as the weather changes on a dime.
2,AmazCustomer,2-Apr-18,,I have not used it yet but when I opened it I felt like it seemed rather flimsy and not made very well so I don't know how it's going to stand up in bad weather conditions. We'll see., 
5,Annissa Deshpande,2-Apr-18,, ,"Compact, yet sturdy umbrella!"
2,droux443,2-Apr-18,, ,Not windproof. This is not a vented umbrella. It does however dry very quickly.
5,Kenya Marquez,1-Apr-18,, ,"Even though I just got this umbrella, just by testing it, it is so sturdy and I can tell it will be long lasting. I love the button to open and retract the umbrella."
5,Alexey Solovtsov,1-Apr-18,, ,Very strong umbrella. Wind resistant and big enough to walk with someone else.
5,Bobby R.,1-Apr-18,, ,"I received the Repel windproof umbrella and so far really like it.  It's compact and fits in my backpack easily.  It rained recently and I had the chance to try it out.  It worked great. It was not a windy day so I can't say yet how it would work in a windy situation. But anyway, I just pressed the button and it springs open.  One hand operation.  While getting into the car, I again press the button and it closes in and use the floor as support as I close it down the rest of the way.  Very easy.  Nice umbrella.  Thumbs up.  I recommend it."
5,RmL,1-Apr-18,, ,Just what I needed
5,AmazCustomer,31-Mar-18,, ,Looks very sturdy and opens easily.  Taking it on a long trail hike out west for sun protection.  We'll see how it goes.
5,AmazCustomer,31-Mar-18,, ,"Very good quality, pretty small size, a classic umbrella. Fits really well for all purses."
5,Laura Kint,31-Mar-18,, ,Great product and capable of handling Chicago winds
5,Dmitriy,31-Mar-18,, ,Great umbrella! And very reliable.
5,Dennis Byun,30-Mar-18,, ,Nice umbrella and very compact when not in use. Seems to have a good build quality. Iâ€™d buy it again.
4,Farsund Girl,30-Mar-18,, ,I haven't used it yet but opening it and checking the construction showed me it was a well made product. In fact I'm going to order another one next week.I gave it 4 stars as I don't know how it will hold up during a heavy rain . Five stars if it does well.
3,DTreadaway2,29-Mar-18,,Broken easily, 
1,Olivia,29-Mar-18,,"It is not rainproof,when I used it,I got  wet. Disappointed", 
5,Rebecca,29-Mar-18,, ,"Very compact and lightweight, perfect travel umbrella"
5,Jeyaseela Prabhu,29-Mar-18,, ,Nice product and it was as specified
1,Brian vKuster,29-Mar-18,, ,Claims to be windproof but at the first sign of 20mph winds part of it snapped.
4,Karlene Schmidt,29-Mar-18,, ,"This is a GREAT umbrella.  Just keep in mind it IS a travel umbrella, so it's smaller than I actually would've liked.  Does fit in my hobo bag purse perfectly however.  Haven't gotten into wind it wouldn't hold up to yet.  LOVE the open/close button, too."
5,M. OMALLEY,29-Mar-18,, ,Really robust.
2,Siri,28-Mar-18,, ,I was expecting more from this product for the price.
5,Sofa Writer,28-Mar-18,, ,strong!
5,Tran,28-Mar-18,, ,"Works great, As advertised. Good quality."
5,AmazCustomer,28-Mar-18,, ,Super strong ! Overall great quality and best umbrella Iâ€™ve ever owned
5,Michael Frye,27-Mar-18,, ,Very good product works as advertised.
5,Marti831,27-Mar-18,, ,It's perfect!
5,Chuck of Ohio,27-Mar-18,, ,"Was delivered on time. My daughter is delighted with how it works and that it feels strong.  It will be a day or two until she needs it, but she is looking forward to see how the rain and wind are handled. I may be buying a second one for myself. :-)))"
5,Miss Mouse,27-Mar-18,, ,Good quality
2,Acetl87,26-Mar-18,,The umbrella broken when I used it in a windy day. It is not sturdy., 
1,lucy,26-Mar-18,,I only used it  twice.The umbrella  rusted, 
5,Daniel LeVine,26-Mar-18,, ,Nice and compact. Exactly what I needed. I carry it in my backpack. Gets the job done.
5,Gregory A. Engel,26-Mar-18,, ,Great product.  I like the way that the &quot;open&quot; button also works to close the umbrella.  Very handy feature.
5,Colin C.,26-Mar-18,, ,"I work in an image driven industry where I am in the GO constantly. This umbrella meets the: &#34;Appearances&#34; I require (i.e., solid, formal, black); Convenience (easy to open/close/store [usu on/with my person); Cost Efficient (affordably priced & highly rated). I could not be happier to own this umbrella!"
5,Tony Tharae,26-Mar-18,, ,I'm actually a little blown away... the description says that it opens and closes with the push of a button and it ACTUALLY DOES THAT. Love this thing -- compact and sturdy!
5,Cecilia Willer,26-Mar-18,, ,Great umbrella. Large when it unfolds and quite compact closed.
5,Bill,26-Mar-18,, ,It is exactly what I was looking for.
5,Barry R. Schirm,26-Mar-18,, ,"Nicely made, compact and the auto open and close (at the push of the button) is a great feature when your hands are already holding something else."
5,Raymond Updyke,26-Mar-18,, ,Great umbrellla - I love the textured handle and the smooth open/close process. Great customer support as well!
1,cassandra,26-Mar-18,,"The umbrella was broken when I used it for the first time,it is not windproof,Don't waste your money", 
5,Robyn Gregory,25-Mar-18,, ,It is very sturdy.  It opens and closes easily.  Great buy.
5,lawAbidingCitizen,25-Mar-18,, ,"I have benkii before(less1 year) but i lost it :(this is the replacement i chose since it has lifetime warranty without needing to send the umbrella itself back (no need to ship the item if broken)and I expect no less on that promise :)pros: -feels more durable than other  small umbrella, you can notice it by the weight itself and the sturdiness of the main steel -teflon coated so it will dry very fast on rain -ribs feels like bendable durable material so it will survive sudden winds -very handy, fits on small bag -very classy look -lifetime warranty without needing to ship the item back!! (if it broke within a  year i might try this, with screen shot and video record)cons: -i thought the fabric would be a lot thicker since its teflon coated, not an issue though :) -the spring when opening is not super strong but its my preference only, i like it to be more stronger faster opennote: the cons is base on my preference because i have benkii before and as of  now my bag is small so I chose the top umbrella which i think this is :D kudos to the repel team!"
4,Rob Trans,25-Mar-18,, ,"All we have done so far is unpack the umbrella and open it and close it.  It seems to be as well made as advertised and as other reviewers have said.  It is light.  It opens and closes easily.  It folds to a smaller size than the Totes umbrella it is replacing.  So far, we are happy with it."
3,AmazCustomer,25-Mar-18,, ,"the umbrella doesn't lock in place when extended, it does open quickly and has good coverage."
5,Bruce Frier,25-Mar-18,, ,"Compact and perfect for travel. It covers more effectively than most such umbrellas, although I've not yet tested it on a windy day. But it is an essential addition to my suitcase."
5,EmilyHW,25-Mar-18,, ,This is a great solid umbrella but with the sturdiness comes weight - this is not one I would want to carry in my purse every day as an on foot commuter.  Just something to be aware of - but otherwise it's great!
5,richa60,25-Mar-18,, ,Good product and great customer service!
5,AmazCustomer,25-Mar-18,, ,"I already approved my umbrella and I liked to use it, thank you very much !! It was very good purchase!"
5,Samik,24-Mar-18,, ,"Quick delivery, product exactly as expected. Works great, nice compact size and fit for purpose. Would recommend to others."
5,Jason,24-Mar-18,, ,"Works fine in a common windy and snowy day in Boston. Not tested in a big storm though. Considering its price, I would definitely recommend this product for a regular use in a rain or snow."
5,Susan Simpson,24-Mar-18,, ,This umbrella works very well.  Opens and closes easily and is very compact.  Fits in my son's backpack perfectly.
5,Lisa Hill,24-Mar-18,,It's a great umbrella!!, 
4,Robert D Bergstrom,24-Mar-18,, ,"I haven't used my umbrella as of yet, but I love how easily it opens and closes! I will reserve any further judgment until the rains come! It arrived on time, and I am very satisfied with my purchase so far."
5,Umesh Bhatt,24-Mar-18,, ,Havent used much but looks good... Will share much after I get  chance to test the product...
5,AmazCustomer,23-Mar-18,, ,"Sleek design, light yet durable.Easy of use."
5,Arvada,23-Mar-18,, ,"Such a delight to come in from the rain, shake the umbrella, and have it almost dryâ€”dry enough it is not an issue. It is a very nice umbrella. Plus, when in the totally-closed position, the pleats lie flat so when the strap is wrapped and closed, the umbrella is very neat and tidy and slides easily into the cover."
5,jennifer,23-Mar-18,,Super cute . Very good quality ! Thank you !, 
1,John Pate,23-Mar-18,, ,My umbrella didnâ€™t work.  I sent it back for a refund.
1,Meysam,22-Mar-18,, ,"I seriously do not know how this product got so many good reviews here. I assume most are fake. After one time of using, it stopped opening with the button properly and have to push with hand to open it. Terrible product and I am very disappointed."
4,â“¡â“êâ“˜â“ù,22-Mar-18,, ,it does what a light duty umbrella does
3,Chris Keith,22-Mar-18,, ,Rusty after less than a few months use.
5,AmazCustomer,22-Mar-18,, ,Small enough to fit in my purse! Works well
5,Philip A. Hayes,21-Mar-18,, ,"I love this umbrella.  It is well made and functions perfectly.  I bought it anticipating wet weather on a trip to the Pacific North West, and it was so intimidating, the rain didn't bother to show up.  Heading to Southern California now to see if it will also cause the sun to take cover behind a cloud."
5,Manyuan Lu,21-Mar-18,, ,It's good until now.
5,Bruce,21-Mar-18,, ,"This umbrella is great.  Opens and closes with the click of a button, is very sturdy, and can stand up to the wind here in San Francisco.  It's small and light weight, making it very convenient.  Also, customer service is great!  I lost the slip cover after two years.  They are replacing it for me at no charge!  Next Christmas everyone's getting Repel umbrellas!"
4,Dennis W.,21-Mar-18,, ,"Just as decribed, prefect size and compact."
5,Herman Granados,21-Mar-18,, ,Amazing umbrella. Just what I needed. Resistent structure. Now I can fight the rain.
5,Rose Gray,21-Mar-18,, ,I gotta say this is an amazing umbrella. Only complaint would be that the handle is a bit short so I have to hold my arm higher up in the air which is slightly tiring but I think I will survive...
1,Amazonian Customer,21-Mar-18,, ,"Without a doubt the most disappointing purchase Iâ€™ve ever made on Amazon. I wonâ€™t go so far as to say the worst umbrella Iâ€™ve ever owned because thatâ€™s a high bar, but completely useless. I just tried to use it for the first time and the handle fell off and wonâ€™t screw back on. Because itâ€™s raining I tried to use it anyway and the clip at the top wonâ€™t catch leaving me to have to hold it open with one hand, and soaked through. Generally flimsy."
5,J. Busis,21-Mar-18,, ,Has held up well so far.
5,Martin Coward,20-Mar-18,, ,Used it a couple of time works very well.
1,Abbey,20-Mar-18,, ,"I very rarely write reviews, but I felt this deserved one.  The first time I used this umbrella, it flipped inside out within thirty seconds of opening it, rendering it useless for its intended purpose. I was drenched, and very unhappy.  Will be returning (another thing I very rarely do)."
5,Juliana,20-Mar-18,, ,"Great umbrella! Was shipped fast, and it is just as described. Opens very smoothly, comfortable to use, great quality. Very satisfied with it."
5,AarSable,20-Mar-18,,"Great umbrella, excellent price", 
5,RMax,20-Mar-18,, ,"Good material, good fabric! Very solid!"
5,Peggy Bonomo,20-Mar-18,, ,The best thing about this umbrella is the ease of opening and closing.  It is well constructed and a little larger than many folding umbrellas.  It will be put to the test this summer in everyday Florida rain.
3,JZ1,20-Mar-18,, ,"UPDATE:  They immediately emailed me apologizing for the umbrella not meeting my full expectations. They offered a full refund or a replacement.  I declined both options because the umbrella wasn't broken and a replacement would have the same issue.  They issued a refund anyway with their apologies  Needless to say, this company truly stands behind their products.  If only all companies were like this one.Nice but annoying.  I like the automatic open/close feature but it's a pain when you only want to close it temporarily.  It won't stay up unless you completely compress it to its original position which is a little difficult if you're carrying other things."
4,Scurvy230,20-Mar-18,, ,"PROS: Very portable, sturdy, and easy to use. Keeps most of the water off me, rain rolls off and stays off well. Very lightweight, button works smoothly, feels great in hand for the most part.CONS: Wish I could put two hands on it, the wind in my city is heavy and this thing gets hard to control sometimes.Will unfortunately have to get myself a two handed umbrella but this thing will work while i'm broke and in college."
5,Elizabeth Stone,19-Mar-18,, ,Great umbrella. Collapses easily.
5,W.Jackson,19-Mar-18,, ,It opens and shuts easily and it is large. Best of all it is wind-proof...a great umbrella.
5,AmazCustomer,19-Mar-18,, ,"though heavy, it works well."
5,harvey,19-Mar-18,, ,Great umbrella!  Holding up great so far.  Nice compact size.  Easy to open. Easy to close.
4,Elizabeth M. Mornini,19-Mar-18,, ,I bought this umbrella based on reviews of other purchasers. Itâ€™s very good quality for its small size. Iâ€™ve had many sub-standard umbrellas previous to this one and this one far outdoes others from the past.
5,Kathleen B.,19-Mar-18,,Super compact AND very sturdy!, 
5,Bernard Descamps,19-Mar-18,, ,The product arrived in excellent condition and works as expected.
4,TxGen,18-Mar-18,, ,"Looks sturdy, but haven't used it in strong wind yet.  Good travel size.  Opens and closes easily."
